Rk,PER,TS%,FTr,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
88,7.3,0.515,0.155,14.2,,-0.1,0,-0.1,-0.007,,-3.3,-1.4,-4.6,-0.3
88,12.3,0.536,0.138,15.4,,0.1,0,0.2,0.079,,0.7,-2,-1.3,0
88,5.2,0.5,0,10.8,,0,0,0,0.03,,-3.3,-0.7,-4,0
89,23.8,0.658,0.357,18.2,,7.8,3,10.8,0.23,,3.3,-0.3,3,2.8
90,12.1,0.546,0.421,18.6,,1.5,1.6,3.1,0.088,,-0.9,-0.6,-1.5,0.2
91,7.8,0.432,0.173,18,,-0.7,0.7,0,-0.003,,-4.1,0.1,-4,-0.3
92,11.8,0.565,0.141,16.7,,1.2,0.7,1.9,0.07,,-0.4,-0.3,-0.7,0.5
93,15.2,0.541,0.302,19.1,,0.7,1.2,1.9,0.08,,-2.2,0.6,-1.6,0.1
94,14.7,0.458,0.431,19.4,,0.2,0.6,0.8,0.099,,-1.4,2.2,0.8,0.3
94,12.7,0.476,0.426,24.7,,0,0.2,0.1,0.044,,-2.8,1.2,-1.6,0
94,16.1,0.44,0.435,16.1,,0.2,0.4,0.6,0.134,,-0.5,2.9,2.4,0.3
95,13.9,0.569,0.37,19,,0.5,0.6,1,0.093,,-1,0.7,-0.2,0.2
96,15.7,0.606,0.36,18,,0.6,0.7,1.3,0.119,,-0.3,0.7,0.4,0.3
97,18,0.566,0.343,17.5,,3.8,2.9,6.7,0.146,,0.2,1.1,1.2,1.8
98,30.7,0.625,0,21.8,,0.1,0,0.1,0.347,,9.6,3.7,13.3,0.1
99,5,0.414,0.2,13,,0,0,0,0.026,,-5.3,-3.1,-8.4,-0.1
100,11.2,0.63,0.879,8.5,,0.9,1.2,2.1,0.114,,-2.9,0.8,-2.1,0
100,11.5,0.653,1.5,13,,0.1,0.1,0.2,0.092,,-4.8,0.2,-4.6,-0.1
100,11.2,0.626,0.793,8,,0.9,1.1,1.9,0.117,,-2.7,0.9,-1.8,0
101,8.5,0.537,0.092,11.8,,0.5,1,1.5,0.062,,-2.3,-0.5,-2.8,-0.2
101,9.1,0.561,0.087,11.2,,0.6,0.9,1.5,0.074,,-1.8,-0.2,-2,0
101,5.8,0.463,0.106,14.2,,-0.1,0.2,0,0.009,,-4.5,-1.6,-6.1,-0.2
102,2,0.333,0,16.2,,0,0,0,-0.08,,-8.5,-6,-14.6,0
103,7,0.375,0,11.8,,0,0,0,0.023,,-2.7,1.4,-1.3,0
104,9.2,0.455,0.25,20.6,,-0.6,0.4,-0.2,-0.023,,-5.7,-1.9,-7.5,-0.7
104,3.4,0.391,0.206,20.5,,-0.3,0.1,-0.2,-0.101,,-9.6,-1.7,-11.2,-0.2
104,10.7,0.47,0.26,20.7,,-0.3,0.2,0,-0.003,,-4.6,-1.9,-6.6,-0.5
105,9.2,0.48,0.046,10.9,,0.3,0.7,1,0.071,,-1.1,0.4,-0.7,0.2
106,8.3,0.502,0.097,19.3,,-0.4,0.3,-0.1,-0.003,,-3.3,-1.8,-5.1,-0.8
107,16.8,0.539,0.163,27.6,,1.9,-0.1,1.8,0.039,,2.1,-2.6,-0.5,0.8
108,21.8,0.627,0.32,23.7,,5,1,6,0.158,,2.8,-1.9,0.9,1.3
109,13.5,0.562,0.315,16.6,,1.4,1.5,2.9,0.104,,-1.5,0.3,-1.2,0.3
110,16.7,0.574,0.288,17.7,,3.9,2.9,6.8,0.153,,0.8,1,1.8,2.1
111,12.9,0.454,0.231,19.6,,0,0.2,0.2,0.085,,-2.6,-0.8,-3.5,0
112,21.4,0.569,0.363,27.3,,5.7,2.3,8,0.164,,4.6,0.1,4.7,3.9
113,13.6,0.573,0.114,13.3,,2,1.9,3.9,0.149,,0.3,0.8,1.2,1
114,13.1,0.565,0.059,20.2,,1,0.8,1.8,0.082,,-0.5,-1.6,-2.1,0
115,21.4,0.562,0.388,28.1,,0.9,1.5,2.4,0.151,,0.4,2.6,3,1
116,13.3,0.58,0.246,15.6,,0.9,1.6,2.5,0.1,,-0.5,2.1,1.6,1.1
116,11,0.578,0.197,14.2,,0,0.7,0.7,0.077,,-1.7,2.2,0.5,0.3
116,14.7,0.58,0.269,16.5,,0.9,0.9,1.8,0.114,,0.1,2.1,2.2,0.8
117,7.7,0.519,0.15,16.4,,-0.2,1,0.8,0.035,,-2.4,-0.4,-2.8,-0.2
118,10.4,0.547,0.193,12.4,,1.4,1.7,3,0.096,,-2,0.2,-1.9,0
119,11.7,0.522,0.251,20.8,,0.1,0,0.2,0.006,,-1.1,-2.8,-3.9,-0.6
120,20.2,0.55,0.438,17.6,,0.1,0,0.2,0.196,,2.4,1.1,3.5,0.1
120,21.5,0.573,0.7,15.3,,0.2,0,0.2,0.258,,3.7,2,5.7,0.1
120,16.3,0.5,0,24.5,,0,0,0,0.011,,-1.7,-1.3,-3,0
121,12.1,0.538,0.247,19.1,,1.3,3.1,4.4,0.097,,-0.3,0.6,0.3,1.2
122,10.2,0.585,0.114,8.9,,1,0.9,1.9,0.097,,-1.3,0.6,-0.6,0.3
123,11.4,0.595,0.112,16.6,,1.5,0.9,2.4,0.082,,-0.4,-0.7,-1,0.3
124,24.4,0.641,0.214,30.4,,7.2,2.5,9.7,0.199,,7.1,-0.5,6.6,5.1
125,9.8,0.558,0.084,17.6,,0.2,0.1,0.3,0.02,,-1.7,-2,-3.7,-0.3
126,30.3,0.597,0.422,29.5,,6.4,3.1,9.5,0.247,,7.1,2.3,9.4,5.3
127,15.6,0.682,0.455,10.1,,0.3,0.1,0.4,0.145,,-1.5,-0.6,-2,0
128,17.3,0.632,0.536,12.7,,3.3,2.5,5.7,0.191,,-0.6,0.7,0,0.7
129,0,0,0,40.7,,0,0,0,-0.471,,-9.6,-31.1,-40.7,0
