Rk,PER,TS%,3PAr,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
81,5.4,0.421,0.4,0.067,13.1,-0.2,0.2,-0.1,-0.018,-5,1.3,-3.7,-0.1
81,11.1,0.534,0.368,0.079,14.8,0,0.3,0.3,0.044,-2.5,0.6,-1.8,0
82,14.8,0.528,0.36,0.194,23.5,2,1.9,3.8,0.089,0.1,0.2,0.3,1.2
82,16.2,0.557,0.293,0.282,23.4,1.1,1,2.1,0.151,0.4,1.4,1.8,0.6
82,14.2,0.516,0.389,0.157,23.5,0.9,0.8,1.7,0.06,0,-0.4,-0.4,0.6
83,11.7,0.517,0.452,0.185,16.7,1.1,1.3,2.5,0.069,-0.1,-0.4,-0.6,0.6
84,10.3,0.538,0.595,0.16,15,0.7,2.3,2.9,0.089,-2.3,1.5,-0.8,0.5
85,18.4,0.697,0,0.725,14.2,5.8,3.5,9.4,0.218,0.6,1,1.5,1.8
86,14.6,0.537,0.336,0.169,20.9,2.1,1.9,3.9,0.079,0.2,-0.4,-0.2,1.1
86,15.7,0.548,0.344,0.167,21,2.3,1.2,3.4,0.094,0.8,-0.8,0,0.9
86,11.6,0.505,0.311,0.174,20.6,-0.2,0.7,0.5,0.037,-1.5,0.7,-0.8,0.2
87,13,0.567,0.075,0.276,14.3,0.8,0.6,1.4,0.076,-0.6,0.1,-0.5,0.3
88,10.1,0.456,0.032,0.297,20.5,-0.4,0.7,0.3,0.03,-3.9,0.1,-3.8,-0.2
88,11.3,0.41,0,0.323,23.4,-0.1,0.1,0,-0.01,-1.8,-1.5,-3.3,0
88,9.9,0.468,0.039,0.291,20,-0.3,0.7,0.3,0.038,-4.3,0.3,-3.9,-0.2
89,1.6,0.374,0,0.476,8.1,-0.1,0.1,-0.1,-0.016,-7.4,-1.5,-8.9,-0.3
89,1.8,0.438,0,0.667,6.9,-0.1,0.1,0,0,-7.1,-0.7,-7.8,-0.2
89,0,0.167,0,0,15.6,-0.1,0,-0.1,-0.124,-9.4,-6.5,-15.9,-0.1
90,5.4,0.539,0.014,0.577,9.2,0.1,0.5,0.6,0.049,-5.3,0.4,-4.8,-0.4
91,3.6,0.334,0.4,0.04,20.9,-0.2,0,-0.2,-0.121,-6,-2.1,-8,-0.1
92,15.6,0.534,0.143,0.267,21.9,2.1,2.2,4.3,0.087,0.4,-0.7,-0.3,1
93,10.8,0.6,0,0.302,9.8,2.1,1.5,3.6,0.113,-1.9,0.7,-1.2,0.3
94,15.9,0.521,0.228,0.259,19.4,3.4,3.2,6.6,0.111,0.7,0.5,1.2,2.3
95,11.6,0.534,0.465,0.141,20.5,0.1,0.5,0.6,0.064,-1.6,-0.2,-1.9,0
96,12.8,0.63,0.851,0.11,15.7,1.2,0.4,1.6,0.126,1.8,-0.7,1.1,0.5
97,7.8,0.667,0,0,10.2,0,0,0,0.008,-4.3,-2.7,-7.1,0
98,14.6,0.484,0.018,0.4,27.2,-1.9,2.9,1.1,0.022,-2.7,0.1,-2.6,-0.4
99,14.2,0.545,0.399,0.297,23.4,1.9,1.4,3.4,0.071,0.6,-1.6,-1,0.6
100,11.8,0.456,0.256,0.168,27,-1,0.5,-0.6,-0.026,-1.5,-2.3,-3.8,-0.5
100,7.6,0.421,0.351,0.078,28.1,-0.4,0.1,-0.3,-0.09,-2.8,-2.7,-5.5,-0.1
100,12.6,0.462,0.239,0.184,26.8,-0.6,0.3,-0.3,-0.014,-1.2,-2.2,-3.4,-0.3
101,10.7,0.483,0.028,0.131,15.7,0.3,1.7,2,0.06,-3.2,-0.1,-3.3,-0.5
101,9.5,0.457,0.014,0.155,14.5,0.1,1.2,1.3,0.057,-3.9,0.4,-3.5,-0.4
101,13.1,0.525,0.05,0.094,18.3,0.2,0.5,0.7,0.065,-1.8,-1.1,-2.8,-0.1
102,19.4,0.595,0.325,0.216,24.4,5.4,1.3,6.6,0.128,3,-0.7,2.3,2.7
103,14.1,0.509,0.004,0.261,17.1,0.4,2.5,2.9,0.072,-2.4,0.2,-2.2,-0.1
104,9.7,0.591,0.011,0.494,8.1,0.5,1.4,1.9,0.109,-2,1.7,-0.3,0.4
105,6.7,0.51,0.4,0.4,9.1,0,0,0,0.044,-4.8,-1.1,-6,0
106,11.7,0.527,0.091,0.246,15.1,0.3,1.7,2,0.103,-1.7,2.3,0.6,0.6
