Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
64,3.5,0.22,0.133,5,-0.1,0.1,0,0.004,-3.8,1.5,-2.3,0
64,0,,,0,0,0,0,0.029,-4.4,-3.9,-8.3,0
65,12.5,0.518,0.164,20.5,1.3,0.9,2.2,0.067,-0.2,-0.8,-1,0.4
65,11.9,0.529,0.167,20.4,0.6,0.5,1.1,0.076,-0.1,-0.3,-0.4,0.3
65,12.9,0.508,0.16,20.5,0.6,0.4,1,0.058,-0.3,-1.2,-1.5,0.1
66,15.5,0.551,0.352,23.4,0.1,0.3,0.4,0.06,-0.6,-0.5,-1.1,0.1
66,10.7,0.514,0.583,22.6,-0.1,0.1,0,0.017,-2.5,0.3,-2.2,0
66,24.3,0.44,0.308,43.3,0,0,0,0.087,-2,0.3,-1.6,0
66,16.5,0.578,0.295,22.3,0.2,0.1,0.3,0.072,0.1,-0.8,-0.7,0.1
67,8.2,0.349,0.151,20.4,-0.5,0.2,-0.3,-0.068,-4.5,-0.7,-5.2,-0.2
68,4.7,0.419,0.318,17.1,-0.5,0.3,-0.3,-0.05,-6.6,-0.1,-6.8,-0.3
68,-0.5,0.36,0.321,17.5,-0.3,0.1,-0.2,-0.102,-8.8,-1.5,-10.3,-0.2
68,8.4,0.462,0.316,16.7,-0.2,0.2,0,-0.013,-5.2,0.9,-4.3,-0.1
69,10.7,0.505,0.288,28.7,-0.5,0.1,-0.4,-0.097,-3.1,-2.1,-5.1,-0.1
70,9.7,0.505,0.154,16.7,0.3,0.6,0.9,0.059,-1.7,-0.8,-2.5,-0.1
71,6.7,0.46,0.074,15.4,-0.2,0.3,0.2,0.019,-2.5,-0.9,-3.3,-0.1
72,12.6,0.473,0.126,21.8,1,0,0.9,0.02,0,-2.6,-2.6,-0.4
73,15.8,0.547,0.449,23.9,2.6,0.6,3.2,0.07,0.2,-1,-0.8,0.7
74,12.2,0.512,0.139,20.1,0.6,1.2,1.8,0.062,-0.6,-0.8,-1.4,0.2
74,12.4,0.494,0.158,23.7,-0.2,0.5,0.2,0.014,-1.2,-1.7,-2.9,-0.2
74,11.9,0.548,0.102,15,0.9,0.7,1.6,0.127,0.2,0.5,0.7,0.4
75,13.5,0.522,0.488,16.8,2.4,4.6,7.1,0.131,-0.9,2,1.1,2
76,12.2,0.585,0.127,15.4,0.5,0.6,1.1,0.138,0,0.3,0.3,0.2
77,7.2,0.414,0.188,19.3,-0.2,0.2,0,-0.009,-4.4,1.1,-3.4,0
78,15.2,0.456,0.218,24.3,-0.2,0.6,0.4,0.038,-1.4,-0.5,-1.9,0
78,14.8,0.456,0.207,23.4,-0.2,0.5,0.4,0.036,-1.5,-0.4,-1.9,0
78,19.9,0.459,0.318,36.9,0,0.1,0,0.063,-0.3,-1.6,-1.9,0
79,14.4,0.502,0.281,23.8,0.6,0.4,1,0.047,-0.6,-1.5,-2.1,0
80,12.3,0.506,0.232,17.5,-0.1,1.6,1.5,0.062,-2.5,1.6,-0.9,0.3
81,15.2,0.596,0.084,16.2,5.4,0.8,6.3,0.122,2.5,-0.7,1.9,2.4
82,9.4,0.483,0.133,13.9,1,0.8,1.8,0.055,-3,0.5,-2.6,-0.2
83,9.5,0.506,0.333,21,0,0.2,0.2,0.031,-2.5,-1.5,-4,-0.1
84,13.9,0.575,0.22,15.2,3.2,2.6,5.8,0.119,-0.1,0.7,0.7,1.6
85,15.9,0.539,0.242,23.1,3,1.3,4.3,0.105,1.8,-0.5,1.2,1.6
86,15.5,0.48,0.348,25.7,-0.8,2.1,1.3,0.026,-0.2,-0.2,-0.5,0.9
87,12.9,0.528,0.298,18.3,1,1.4,2.4,0.091,-0.4,0,-0.3,0.5
88,14,0.567,0.291,17.4,2.4,2.5,4.8,0.106,-0.3,0.5,0.2,1.2
89,16.4,0.615,0.481,12.9,3.1,1.9,4.9,0.143,0.3,-0.1,0.2,0.9
90,12.4,0.526,0.206,19.5,1.8,1.2,3.1,0.076,-0.1,-0.6,-0.8,0.6
91,3.9,,,1.9,0,0,0,-0.003,-4.1,0.9,-3.3,0
92,11.1,0.489,0.387,17.4,0.2,0.1,0.3,0.083,-0.5,-1.3,-1.8,0
93,9.1,0.466,0.13,17.9,-0.4,0.8,0.3,0.02,-2.5,-0.1,-2.6,-0.1
93,8.6,0.467,0.1,17.9,-0.5,0.7,0.2,0.014,-2.5,-0.1,-2.6,-0.1
93,13.5,0.453,0.476,17.5,0,0.1,0.1,0.08,-2.4,-0.4,-2.7,0
94,9.2,0.485,0.104,22.4,-0.2,0.1,-0.1,-0.025,-2.9,-0.3,-3.2,-0.1
95,8.8,0.502,0.262,13.7,0,0.2,0.2,0.047,-3.2,0,-3.2,-0.1
