Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
112,13.4,0.531,0.18,19.9,1.4,1,2.4,0.089,-0.9,0.3,-0.5,0.5
112,12.3,0.522,0.193,21,0.8,0.7,1.5,0.081,-1.2,-0.3,-1.5,0.1
112,16,0.558,0.14,17.3,0.6,0.3,0.9,0.11,-0.2,1.9,1.8,0.4
113,8.3,0.462,0.714,14,0,0,0.1,0.041,-3.9,0.2,-3.8,0
114,17.5,0.54,0.36,21.7,4.1,1.6,5.7,0.106,1.7,-0.3,1.4,2.2
115,21.6,0.578,0.465,17.2,2.2,2.3,4.5,0.172,1,1.5,2.5,1.4
116,14.9,0.582,0.242,17.2,3.9,0.9,4.8,0.106,1,-0.4,0.6,1.5
117,8,0.517,0.106,9.2,0.6,0.4,1,0.056,-2.4,-0.5,-2.9,-0.2
118,24.4,0.554,0.307,27.8,3.4,4.9,8.3,0.191,2.4,2.9,5.3,3.8
119,13.6,0.577,0.205,17.3,2.7,1.7,4.4,0.109,0.5,-0.2,0.4,1.2
120,28.3,0.647,0.523,29.8,13.6,5.3,18.9,0.291,7.6,1.7,9.3,8.9
121,6.3,0.411,0.192,20.4,-0.2,0.1,-0.1,-0.025,-5.3,-2.5,-7.7,-0.3
122,12.2,0.546,0.142,16.8,2.1,1.1,3.2,0.093,0,-0.5,-0.5,0.6
122,9.8,0.529,0.08,15.7,0.6,0.8,1.3,0.094,-1.1,0.5,-0.6,0.2
122,13.9,0.556,0.179,17.6,1.6,0.3,1.9,0.093,0.7,-1.2,-0.5,0.4
123,16.2,0.493,0.26,26.3,1.2,3.3,4.6,0.071,0.3,0.3,0.6,2.1
124,7.9,0.477,0.259,16.1,0,0.2,0.2,0.021,-4,-0.2,-4.2,-0.2
125,19.9,0.641,0.75,14.1,0.7,0.3,0.9,0.208,0.9,1.3,2.2,0.2
126,12.8,0.506,0.851,11,0.8,3.5,4.3,0.105,-1.7,0,-1.7,0.1
127,18.1,0.558,0.354,22.3,3.6,0.8,4.4,0.105,2,-0.2,1.8,1.9
128,9.3,0.467,0.479,10.7,0,1.5,1.5,0.066,-4,0.7,-3.4,-0.4
129,18.5,0.573,0.386,17.7,4.5,3.4,7.8,0.167,0.9,0.2,1.1,1.7
130,17.5,0.533,0.458,20.6,1.5,2.9,4.4,0.117,-1.6,1.1,-0.5,0.7
131,15.2,0.505,0.145,22.1,2.5,1.7,4.2,0.087,0.9,-0.8,0.1,1.2
132,10.3,0.487,0.238,12.9,0.3,0.8,1.1,0.052,-1.8,0,-1.8,0.1
133,7.7,0.492,0.236,16.4,0,0.4,0.4,0.034,-3.1,-0.3,-3.4,-0.2
133,8.7,0.513,0.354,18.5,0,0.1,0.1,0.016,-2.9,-0.8,-3.7,-0.1
133,7,0.478,0.156,15.1,0,0.3,0.3,0.046,-3.2,0,-3.2,-0.1
134,13.8,0.597,0.257,20.4,0.7,0.3,1,0.115,-1.3,0,-1.4,0.1
135,11.7,0.55,0.195,18.1,2.8,0.9,3.7,0.08,0.1,-0.7,-0.6,0.8
136,14.6,0.546,0.242,23.9,1.1,-0.1,1.1,0.052,1.1,-2.5,-1.3,0.2
137,9.3,0.435,0.19,16.6,-0.2,0.4,0.2,0.022,-4.7,-0.7,-5.4,-0.4
138,16.7,0.561,0.4,21.3,5.2,2,7.2,0.151,2.9,-0.1,2.8,2.8
139,11,0.519,0.07,14.7,0.6,0.6,1.3,0.059,-0.7,0.8,0.2,0.6
139,10.5,0.488,0.068,14.5,0.2,0.4,0.6,0.04,-1.1,0.6,-0.6,0.3
139,12.2,0.586,0.074,15.1,0.4,0.3,0.7,0.101,0.4,1.4,1.8,0.3
140,19.2,0.535,0.236,24.5,1.8,3.8,5.6,0.133,0.9,1.7,2.6,2.3
141,9,0.375,0.204,20.7,-0.3,0.1,-0.2,-0.073,-3.6,-0.9,-4.4,-0.1
142,19.5,0.559,0.364,19.2,6.1,5.4,11.5,0.197,2.1,3.1,5.2,5.1
143,16.7,0.512,0.307,20.5,2,1.7,3.7,0.107,1.1,0.9,2,1.7
144,15.6,0.494,0.235,27.2,0.1,3.9,4,0.072,0.5,0.5,1.1,2.1
144,14.1,0.478,0.227,25.7,-0.2,2.6,2.4,0.075,-0.2,0.7,0.5,0.9
144,17.6,0.513,0.246,29.1,0.3,1.4,1.6,0.068,1.5,0.3,1.9,1.1
145,10.5,0.505,0.276,16.9,0.5,1.5,1.9,0.036,-2.2,-0.3,-2.6,-0.4
146,11.8,0.605,0.173,11.5,1,0.5,1.5,0.114,-0.6,0.4,-0.2,0.3
147,16.8,0.531,0.233,23.5,2.7,6.3,9,0.145,1.5,2.3,3.8,4.4
148,7.7,0.475,0.15,14.3,0.3,0.2,0.5,0.026,-2.8,-0.6,-3.4,-0.3
149,14.4,0.518,0.297,18.1,1,2.3,3.3,0.109,-2.1,1,-1.1,0.3
150,19,0.56,0.382,25.2,2.1,2.4,4.5,0.155,2.1,1.5,3.6,2
151,7.7,0.382,0.262,22.2,-0.3,0.2,-0.1,-0.034,-6.1,-0.6,-6.7,-0.2
152,12.7,0.515,0.167,27.8,-0.4,-0.2,-0.6,-0.018,-0.2,-3.2,-3.4,-0.6
153,15.4,0.523,0.38,29.4,0.8,0.3,1.1,0.042,0.6,-1.9,-1.3,0.2
154,15.4,0.543,0.244,17.2,1.3,2.1,3.4,0.086,-0.8,0.3,-0.5,0.7
155,-6.4,0,0,14.8,0,0,0,-0.264,-9.7,-6.2,-15.9,0
156,4,0.35,0.229,26.2,-0.2,0.1,-0.1,-0.075,-6.3,-2.4,-8.7,-0.1
157,9,0.544,0.489,13.1,0.2,0.4,0.5,0.05,-3.9,-0.4,-4.3,-0.3
158,14.1,0.6,0.119,16.6,2.6,3.2,5.9,0.128,1.4,1.4,2.8,2.7
159,7.1,0.404,0.214,14,-0.9,1.6,0.6,0.028,-5,1.4,-3.6,-0.4
160,9.9,0.465,0.153,21.3,-0.3,1.5,1.3,0.056,-1.6,-0.3,-1.9,0
161,15,0.561,0.329,22.2,1.9,2.8,4.7,0.099,-0.2,-0.1,-0.3,1
162,11.8,0.562,0.083,16.6,1.7,0.9,2.5,0.103,-0.2,-0.7,-0.8,0.3
163,22.4,0.572,0.397,25.4,6.8,3.9,10.6,0.196,3.2,0.8,4.1,4
164,10.2,0.447,0.329,17.4,-0.4,0.5,0.1,0.01,-6.5,0.4,-6.2,-0.3
164,7.4,0.343,0.095,13.7,-0.1,0.2,0.1,0.039,-6.1,0.8,-5.3,-0.1
164,11.2,0.479,0.41,18.7,-0.4,0.4,0,0,-6.7,0.2,-6.5,-0.3
165,16.9,0.49,0.129,25.3,0.4,0.5,0.8,0.1,2.1,-1.2,0.9,0.3
166,10.6,0.481,0.162,25,-0.6,0.9,0.4,0.016,-2.8,-1.2,-4,-0.6
167,7.2,0.501,0.6,17.1,-0.1,0.3,0.2,0.044,-5.2,1,-4.2,-0.1
168,15.3,0.527,0.737,20.6,2.1,2.2,4.4,0.154,-1.3,-0.7,-1.9,0
169,23,0.6,0.592,29,9.8,3,12.8,0.206,5.2,0.5,5.6,5.8
170,12.5,0.504,0.227,15.9,0.7,1.7,2.4,0.059,-1.6,0.3,-1.3,0.4
171,8.5,0.506,0.222,19.9,0,0,0,0.002,-4.5,-1.4,-5.9,0
172,10.3,0.434,0.07,25.1,-0.1,0.1,0,-0.012,-3,-1.5,-4.5,-0.1
173,14.6,0.565,0.348,19.5,1.8,1.5,3.3,0.111,-0.5,0.6,0.1,0.8
174,-3.8,0.239,0.37,16.6,-0.7,0.1,-0.6,-0.219,-11.1,-1.5,-12.6,-0.4
174,7.2,0.434,1,25.6,0,0,0,-0.04,-5.2,-4.6,-9.8,-0.1
174,-6.8,0.126,0.105,14.2,-0.7,0.1,-0.6,-0.267,-12.6,-0.7,-13.3,-0.3
175,16,0.527,0.268,22.1,1.2,1.2,2.4,0.089,0,-0.5,-0.5,0.5
175,13,0.538,0.226,19.4,0.2,0.3,0.5,0.08,-1.5,-0.6,-2.1,0
175,17,0.524,0.28,23.1,1,0.9,1.9,0.092,0.5,-0.5,0,0.5
176,9.9,0.535,0.179,10.7,1.2,2,3.2,0.108,-2.6,-0.5,-3.2,-0.4
177,16,0.514,0.194,20.9,1.7,2.8,4.5,0.096,-1.1,0.6,-0.5,0.9
178,10.7,0.469,0.253,9.4,1.1,0.4,1.5,0.06,-1.2,-0.2,-1.4,0.2
179,16.8,0.564,0.38,22.1,4.2,1.2,5.4,0.123,2.5,-0.5,2,2.1
180,11.2,0.396,0.6,18.3,0,0,0.1,0.087,-3.7,1.8,-1.9,0
181,8.7,0.441,0.306,11.5,-0.2,0.4,0.1,0.006,-4.2,-1.8,-6,-1.2
182,16.4,0.531,0.366,23.5,2.9,0.3,3.3,0.073,0.3,-1.4,-1.1,0.5
183,7.6,0.481,0.571,17.3,-0.2,0.2,0,0.002,-4.6,-1.2,-5.7,-0.6
184,18.2,0.497,0.313,22.6,0.6,1.2,1.9,0.109,-0.7,-1,-1.7,0.1
185,17.3,0.489,0.261,22.5,1.3,4.9,6.1,0.129,-1.7,1.4,-0.3,0.9
186,19.7,0.591,0.36,19.9,4.6,2.3,6.9,0.142,1.3,-1.1,0.2,1.3
187,12.6,0.352,0.105,28.3,0,0,0,-0.022,-3.5,0.2,-3.3,0
188,17,0.538,0.453,23.4,1.3,2.7,4,0.116,-0.4,1.7,1.3,1.3
189,16.6,0.558,0.245,18.8,5.9,3.8,9.7,0.177,2.2,1.1,3.3,3.5
190,4.8,0.428,0.245,14,-0.5,0.4,-0.1,-0.014,-5.3,-0.3,-5.6,-0.4
191,18.5,0.533,0.394,20.2,0.9,0.5,1.4,0.147,-0.1,-1.6,-1.6,0
192,10.8,0.493,0.232,14.7,1,2.1,3.1,0.085,-2,1.2,-0.9,0.5
193,16.7,0.496,0.188,26.6,0.6,2.7,3.3,0.055,1.2,-0.7,0.5,1.9
194,7.6,0.408,0.167,19.6,-0.3,0.1,-0.1,-0.042,-4.4,-0.6,-5,-0.1
195,11.3,0.674,0.772,13.6,1,0.8,1.7,0.125,-4,0.2,-3.9,-0.3
196,1.9,0.337,0.182,23.4,-0.2,0,-0.1,-0.22,-8.4,-4.8,-13.2,-0.1
197,19.8,0.56,0.196,21.8,4.7,4.1,8.8,0.153,1.3,0.6,1.9,2.7
198,19.4,0.573,0.887,22.2,2.8,4.8,7.6,0.134,-0.6,1.1,0.6,1.8
199,9.5,0.45,0.156,20,-0.2,0.3,0,0.009,-3.9,0.1,-3.8,-0.1
200,9.9,0.54,0.053,22,0,0,0,0.039,-7.3,-2,-9.3,-0.1
201,13.6,0.515,0.397,16.3,1.4,1.3,2.7,0.109,-1.9,-1,-3,-0.3
202,19.4,0.612,0.246,18.1,5.3,4.1,9.4,0.181,0.9,0.7,1.5,2.2
203,15.2,0.52,0.307,18.8,2.4,3.2,5.6,0.097,1.2,1.4,2.6,3.3
204,18.3,0.552,0.196,20.5,4.1,2.5,6.7,0.159,2,0,2,2
205,21.4,0.553,0.271,30.2,4.2,1.1,5.3,0.125,4.3,-0.7,3.7,3
206,8.1,0.563,0.111,11.3,0.5,0.5,1,0.066,-3.4,0.6,-2.8,-0.1
207,15.9,0.542,0.231,21,3.9,1.8,5.6,0.115,1.1,-0.6,0.5,1.4
208,14.2,0.531,0.191,18.6,1.2,1.3,2.5,0.121,-0.4,0.5,0.1,0.5
209,8,0.473,0.212,18.7,-1.2,1.5,0.3,0.013,-3.6,0.1,-3.5,-0.4
210,14.7,0.541,0.398,13.9,0.5,0.7,1.2,0.125,-2.4,0.7,-1.6,0
211,,,,,0,0,0,,-3.8,17.8,14,0
212,31.6,0.64,0.395,30.2,14.6,4.7,19.3,0.322,9.3,2.4,11.7,9.9
213,9.5,0.481,0.107,17.9,0,0.5,0.4,0.024,-2.5,-1,-3.5,-0.3
214,15.3,0.561,0.237,18.7,3,1.3,4.3,0.126,1,-1.1,-0.1,0.8
215,20.9,0.522,0.176,25.3,4.3,3.3,7.7,0.143,2.2,0.1,2.4,2.8
216,10.3,0.552,0.39,14.4,0.4,0.6,1,0.081,-1.8,0.6,-1.3,0.1
217,2.4,0.343,0.426,10.6,-0.4,0.1,-0.3,-0.042,-6.8,-0.7,-7.4,-0.5
218,7.5,0.425,0.182,15.5,-0.3,0.3,0,-0.005,-4.6,-0.4,-4.9,-0.3
218,6.9,0.445,0.217,16.9,-0.3,0.2,-0.1,-0.018,-4.8,-0.7,-5.4,-0.3
218,8.6,0.377,0.105,12.8,0,0.1,0.1,0.021,-4.2,0.2,-4,-0.1
219,13,0.576,0.238,18.7,1.1,0.6,1.7,0.091,0.4,-1.2,-0.8,0.3
220,16.1,0.51,0.225,23.7,3.6,2.2,5.8,0.096,1.7,-0.6,1.1,2.2
221,15.7,0.531,0.278,20.2,1.2,0.8,2,0.107,0.3,-0.4,-0.1,0.4
222,17.3,0.591,0.309,16.1,4.4,2.9,7.3,0.151,0,1,1,1.8
223,18.4,0.65,0.453,16.2,0.6,0.4,1,0.176,-1.2,2.8,1.6,0.3
224,10.7,0.56,0.08,13.1,0.1,0.1,0.2,0.112,-0.1,0.6,0.5,0.1
225,15.7,0.546,0.368,21.7,0.6,1.7,2.3,0.106,-2.3,0.7,-1.6,0.1
226,10.2,0.442,0.237,19.3,-1.1,0.6,-0.5,-0.028,-3.9,0.3,-3.5,-0.3
227,14.1,0.521,0.153,21.7,3.9,1.2,5.1,0.092,1.4,-1.4,0,1.3
228,11.4,0.523,0.178,16.4,0.5,1,1.5,0.115,-0.5,0.7,0.2,0.3
229,10.3,0.485,0.088,21.4,-0.5,0.5,0,0,-1.6,-1.7,-3.3,-0.3
230,-6.7,0,0,29.7,-0.1,0,-0.1,-0.439,-15,-6,-21,0
231,6.4,0.482,0.509,14,0,0.6,0.6,0.026,-4.9,-0.6,-5.5,-0.9
